Samples,IL22_IFNL.12h.Rep.1,IL22_IFNL.12h.Rep.2,IL22_IFNL.12h.Rep.3,IL22_IFNL.24h.Rep.1,IL22_IFNL.24h.Rep.2,IL22_IFNL.24h.Rep.3,IL22_IFNL.3h.Rep.1,IL22_IFNL.3h.Rep.2,IL22_IFNL.3h.Rep.3,IL22_IFNL.6h.Rep.1,IL22_IFNL.6h.Rep.2,IL22_IFNL.6h.Rep.3,IFNL.12h.Rep.1,IFNL.12h.Rep.2,IFNL.12h.Rep.3,IFNL.24h.Rep.1,IFNL.24h.Rep.2,IFNL.24h.Rep.3,IFNL.3h.Rep.1,IFNL.3h.Rep.2,IFNL.3h.Rep.3,IFNL.6h.Rep.1,IFNL.6h.Rep.2,IFNL.6h.Rep.3,IL22.12h.Rep.1,IL22.12h.Rep.2,IL22.12h.Rep.3,IL22.24h.Rep.1,IL22.24h.Rep.2,IL22.24h.Rep.3,IL22.3h.Rep.1,IL22.3h.Rep.2,IL22.3h.Rep.3,IL22.6h.Rep.1,IL22.6h.Rep.2,IL22.6h.Rep.3,Mock.12h.Rep.1,Mock.12h.Rep.2,Mock.12h.Rep.3,Mock.24h.Rep.1,Mock.24h.Rep.2,Mock.24h.Rep.3,Mock.3h.Rep.1,Mock.3h.Rep.2,Mock.3h.Rep.3,Mock.6h.Rep.1,Mock.6h.Rep.2,Mock.6h.Rep.3
MEF2A,0.863667289259722,2.47743179311826,1.7545830302678,0.246305339929553,-1.19865588267327,2.1954096317087,-1.50836040366624,1.52052684360617,-1.13457990418819,2.37539535923949,0.680716662956012,1.38331852566773,1.34717394383524,1.52441526973488,-0.55879284789947,-5.46838780979406,-2.10141127861373,0.950976053928854,0.0813500954564501,4.64830203008832,1.71455565572945,4.59729711846461,0.988958928011909,3.71618487506284,-1.33342108467469,0.386374320770918,1.40849727847686,-0.597565415514624,-1.0358441483576,-8.87535911965542,-2.81776058789484,1.75334729073951,-3.97453887779398,-0.0235659893672896,-1.6051851897189,5.62181045126022,0.310632435534313,1.05224061361062,1.41922543552295,0.956626600286333,-2.82156688532523,-1.98497777116485,-0.16108271144812,0.952791059951543,1.18419524019644,2.05841813119479,2.5252356415902,2.57058749997401
MEF2B,-0.114837218131573,-0.0794453386782754,-1.69197524792229,-0.515144472535788,-0.604691928739226,0.460581758554215,-0.211103120685518,0.383263143333108,0.656198629732603,-1.26616436375209,0.0679987291958,-0.891872286239859,0.205255917851886,0.554106867778775,-0.57321896913848,-0.0634110023346093,0.60948952140353,0.226449655566535,0.326797149025408,0.682396724826511,1.62195546461297,1.34681954200531,0.599293010234648,1.86472525471741,-0.222848744555794,-1.77976963477222,-1.55336102628527,0.355356478114984,-0.425782841914049,-2.42790850632912,-0.146437311509153,0.329132158294917,-0.730888201093908,-1.22523938439251,-0.525131352498574,1.55787274353854,-0.441761078907881,0.397604863523195,0.776946876533595,-0.350691024526927,-0.509477406206078,0.0618104119934451,0.249889812230051,1.26992349541598,0.305718836784035,2.2193145915762,1.07012002454288,1.07837338151898
MEF2C,-0.439514842598511,1.55119758100371,0.678004943038827,0.204118779841588,0.456188188560132,2.27354806390783,-2.06300463883369,0.0308969313007444,-1.05612812950661,0.812825593192554,0.589329524973331,0.39530760300119,0.632273285594502,1.11431296964691,-0.0647232761167545,-1.02400989910831,-0.550663681943351,1.97079867655157,-2.17319703748298,1.93474193998019,-0.259068521538266,3.54304244240211,0.374666079195827,0.823315841071856,-0.394607557180605,-0.128934300083884,0.885298266711629,-0.335434171301088,0.504526745412138,-2.62486161413485,-0.918756904030891,-0.283837255693397,-1.2854135983141,-1.13013313559303,-2.23044071416958,1.49333195430883,-1.35945845092656,0.312402663276729,0.938807994052673,-1.35130901966084,-0.449105084783897,-0.70158696341149,-0.167908131767199,-0.0867624916357651,-1.14179113634995,2.00005878163035,0.513547680837833,0.606038187249382
MEIS1,0.00464105573709674,1.68826119582187,0.116457601948019,0.428801946360898,-2.06908393126349,2.3225498938549,-1.49159948874794,0.305564380637574,-1.47944320091874,0.380753475908644,-1.31868681007903,1.44249097899382,2.06779790014079,1.59238753188081,0.664230571120838,-1.38983363316526,-0.932644925521028,1.18065664901217,-0.504655963194859,1.40361096446689,0.0418799243199362,3.4528107218395,0.718785431451987,3.01256885559671,-1.51149295737565,-0.90765872270198,-0.467083054823344,-0.980850047184203,-1.22232858181598,-4.89969065771891,-2.93829687390686,0.395466903598279,-2.51685575162829,-0.696342378088235,-1.93428934426591,3.47945040052465,-0.12379450734423,0.940343909520554,1.3523140499258,0.184556587978082,-0.99694398247995,-0.461728514391506,-0.971097279780284,0.716758250015201,0.794471078609989,2.61734199384491,2.13062096516602,2.97167252039519
MEIS2,-0.479150440197191,-0.345398851379506,-1.389640875901,2.24496626967605,0.406551889319869,3.04903617560898,-1.08501355885915,0.269935067810532,-1.58481388698907,-1.45528977417001,-2.92554992126547,-2.71315786505908,1.47392789233113,1.11860960186454,-0.685234089574175,-0.701089282371586,0.509641519814359,2.60833071667875,-1.34885334473832,1.11915452354496,-0.331243480483406,1.94745347695094,-1.25881271348488,-0.206422150572832,0.280491559398126,1.31454989579461,-0.142983838189325,1.70821992620042,1.88741801866409,-3.41633743747957,-2.33369221407126,0.446710671860036,-2.14982130879495,-3.27975138589037,-3.19208478491133,2.11698424053755,0.747748425725962,1.36358177859937,1.21702433277882,2.85221616748972,1.18772945191113,1.74512495398349,-0.691685917637776,0.610690598778378,-0.242935194609622,1.29786149221606,0.302976703737772,0.0472950289373787
MITF,-0.736336972804699,-0.895425657854205,-0.720758602648993,0.137472803850835,0.52306442462897,1.93791249473018,-0.158074401655831,0.222264498666259,-1.54909901352626,-0.324847065131737,-1.24905248113745,1.19152996138141,0.514391471496974,0.747177559640349,-0.116490809282703,-1.17306479767778,-0.414473904448692,0.588977821613836,-0.940197001496132,0.517938476656463,-0.271860013000746,0.215298551673721,-0.717465865876321,0.426974129778023,0.562293038131927,0.870184214263553,1.4700198707447,0.852497711602875,1.72679078339145,-1.40511628430196,-1.04091185933336,0.292963716360964,-1.80571965669403,-0.396910451115056,-0.760107777725226,0.558914801960735,1.23731903426957,0.916128336561161,0.426633555093087,0.937170662583583,1.40466240388012,1.11556519023583,-1.86478097605109,-0.901944974546201,-0.620178419904236,-0.479526905445619,-0.0554682616357261,-0.321319080787605
MNT,0.106882222691328,-1.193496673339,1.79252992091121,0.0632990550169086,1.7499978809174,0.296512212788184,-1.2340269636521,-1.74726561592708,1.08266241070911,-0.789765488699014,2.80757552193266,1.41806417312609,2.03395662940195,1.5150774450734,1.49099800277871,0.00331694427889984,2.46866303670712,0.388307152883263,-0.306098660214721,-1.80210107169348,-1.99803812800124,-3.23471997569763,2.00928439201937,0.820292520474685,2.25842951708492,-1.65967583803309,1.69161616856714,3.16893500121757,2.72741489638636,0.563725664716711,0.55858257744978,-1.72094195349434,0.827273724154064,1.6890753016542,-0.707125626092021,-4.2131606870663,1.11253159230289,0.0604699384087655,-0.0691773122467995,1.59358621105561,1.15609890462726,-0.354996226000977,0.824238651243711,-2.78232283264584,-1.92827243630561,-4.87651014537534,-3.78702205113117,-2.6537567168376
MTA1,-0.316017261113915,-0.683768576000595,-2.96852884445179,-0.477301272762111,-1.48789579181162,-2.45817698235961,-0.028355497827619,2.34313175118068,-0.0508475368589264,-1.0527192763639,-4.46696552612003,-2.927719549544,-3.38559236503093,-2.66223289300146,-1.23191779110961,2.57053862852561,-0.939082640925638,-0.799959685497718,0.798138667908341,1.28182118815633,3.48106173472952,2.14919653135629,-2.87078147072431,-4.07750598576426,-0.749082805088441,1.64871694594444,-1.69394517823156,-1.96155891294831,-1.93742201158549,5.23508175439037,1.92045320800319,0.0457595312181359,0.403679662899484,-4.02219442350897,-1.07259571503374,-0.505216480418903,-0.118967814374035,-0.926230919706348,0.953620394238333,-1.54156084143505,-0.151404940593066,1.01899386621875,1.05233489675821,3.9071288149928,1.75113619609523,3.98817083949896,1.81911662168138,1.55241247360318
MTA2,-0.0446615403540243,-0.0676243557770142,-1.43394740630529,-1.10838343980059,-1.67724709296654,-1.48792964565003,2.63183756669656,3.11957297564583,2.08687605152972,2.27277220569512,0.551077918325914,0.503366819337395,-2.68995327007499,-2.53147328274312,-1.45325739314782,-1.26481445498892,-2.7044463314131,-1.85361597030781,1.68764073141076,2.41782631777734,2.75730663159267,2.63678104757708,-0.655212378369372,0.163192615897367,-1.73144537336497,-0.580381454905568,-2.54527026382674,-2.89966853227778,-3.96335994444126,-0.2111167098626,1.35952908556465,1.60428676194778,1.31238204101675,-0.231671048961111,1.98043107766863,2.35358217949755,-1.58136972931877,-1.7001661522742,-1.6610262888985,-2.20831247982081,-2.35118272652803,-1.43739762473524,1.22775651537571,3.36947246898206,3.35615901761282,2.24441590417371,1.02860058785276,0.600326883032152
MXI1,0.931207328575134,0.764255035895157,3.28037602304468,-0.558421922477279,0.256675288398069,-0.548248638002046,-0.0379653494731346,-0.398505909082377,-0.112849906677491,0.213504058345308,2.38019610849896,1.8879074823724,1.82757744528997,1.55353886193553,1.05827144964814,-0.0174843728767725,0.793475289306192,-0.298775767473022,-0.216223819290843,-1.70587451875983,-0.932976173407928,-2.93333783872248,1.45174592099708,-0.021475549492221,0.648644320378566,-0.397512049767236,0.692671389372085,0.520865965704026,0.0790177734201873,-0.182916272255568,0.54532240019604,0.152496297192798,0.573154588991732,2.22916098006342,0.94328442378153,-1.09493576972926,-0.873110061228034,0.604421902777581,-0.949365973075838,0.276296878030263,-0.658979523585139,-0.807702156927661,-0.222639295782602,-2.06367187731099,-0.774073817604204,-2.87132066661353,-1.71556928412368,-1.79416491570519
MYB,-0.688153751894593,0.135430958716273,-0.731906117585944,-0.617324779233541,-1.29184906878012,1.31266079208835,-0.408250773765062,-0.232190438832711,-1.12971438372824,0.835184497778009,0.880969688871913,-0.300001480401179,-0.1284336126236,-0.483271794936765,0.0635023892289585,0.650511902847907,1.17405503278061,1.9017601767576,0.386195234611249,-1.79365576239418,0.0178554561476358,0.86860527688069,1.59877596286473,1.05610981273024,-0.897274614958784,-1.50667557634956,-0.965016202994333,-1.91134424294056,-0.680454885049846,-0.835315255484536,-1.31920157923986,-1.82337811810134,-0.653206264751425,0.215243112532477,0.424923913281984,-0.584720510628365,0.0509611642000713,-0.0728235215756556,-0.528415617700686,0.795065514930535,0.871873189175148,1.73735122438101,-0.306855380569349,-0.0195893268986008,0.506182280584216,1.3640470173581,-0.0204881667983654,1.51046796559208
MYBL2,1.93888374229263,2.32483523457185,2.00446450775566,1.50978310362204,1.09513232875031,1.64373871511975,-3.38654972860082,-2.72616703767022,-3.42968723260916,-0.368259927996139,-0.992047936378714,-1.51131239098888,1.66025242776608,1.54851062933579,-0.0382005989778777,-0.0988234873378264,0.654954317927231,1.17940910814722,-3.46923440494232,-1.55746614326993,-2.55858676832282,1.70704540770062,0.937450337279676,0.483745884701401,0.772775595328302,1.6267801078592,1.78211980445467,1.61123458578524,1.89211889423866,-1.68280378101771,-3.61436256261612,-1.38443075678943,-3.36671451684103,0.588734756790878,-1.30225498779841,2.50720606719586,0.748093853015572,1.42025812399768,1.06341749916695,1.15347215924578,1.17790733267343,0.700456729141044,-2.24481245336638,-2.44406503274672,-1.83749718369417,1.6556616036654,2.14753064434979,1.25541280788295
MYC,4.02795206048695,2.80859143828224,0.429155111183404,-1.12690165207559,1.68256133570244,-5.00349235717265,0.269545292629115,-2.73988278472143,0.308334134559205,0.380904009473728,1.92752716065233,-1.67540171516733,0.365424307534651,1.74323637487372,4.67964156565838,1.11159515227821,1.58269540007155,-5.16341100663428,-2.08166195497737,-3.47891176228966,-3.34052761181434,-1.6022603767434,1.47330234947585,-2.22926464876111,3.09398695713849,0.291446942397416,3.20299166152101,3.70375598688839,1.8683342728431,4.77138828451643,2.61044656907223,-4.25579998364927,1.98410303522389,0.734629330798519,-0.350624951511614,-5.03071276682373,1.48007473579146,0.576006773185178,4.3103636518342,-3.59892444474128,2.8527058210279,-0.899031713087847,0.427681581774465,-3.0534433060654,-3.51362622213921,1.08918178429798,-0.0674220206080039,0.150453545795303
MYOD1,-0.342606065825615,0.121028557201459,-1.77131811140854,0.164399435265315,-1.08522934011419,1.21952978559499,-1.60412217921596,0.366691414786459,-1.27472032785386,2.08427358368959,-0.717881761190707,0.105668272541928,-0.0483972844169145,0.823568715297632,0.655156586289923,0.860169736838011,1.00887998761691,1.56887124940112,-2.45700785562888,0.174753929286324,0.449909610452847,2.39691367549343,-1.08455275866851,-0.604045957739072,-2.62019123250695,0.291088575081168,-1.34120967090867,0.44462485465776,-1.10040333303269,-0.657327749921417,-1.69159836354812,-0.871123384539023,-2.96083073865427,-1.98886524456699,-1.8167880810626,1.46139365019905,0.387907531421799,0.405569590955864,1.76108360804415,2.15262917388629,0.586997653721741,1.94202045912388,-0.73229871191465,0.29637583775852,-0.704066179767002,1.81064915908351,-0.640648576531206,-0.178054799311808
NANOG,0.0489184055310716,-1.04732606901848,-1.03084477371903,1.03556409970914,-0.468404890405914,2.20378435908295,-0.951011878044805,1.81844054807407,-3.00076863414396,0.867729831244835,-0.99232015146955,0.0658790007000443,1.46009163356153,1.06378397334786,-1.02899019370011,-0.94689165655476,0.12961682870347,2.29923707198957,-0.131246845109523,-0.0403791284518812,0.702958154444035,-0.463600738893263,-0.78382588845496,0.115578235126842,-1.05975241810782,0.372192466512307,0.0867201287743541,-0.313836705575386,-0.0269174537910945,-2.01728344366763,-1.7369916903968,1.76817072565403,-1.12694100954198,-1.12795122570731,-1.76612186595012,2.27212744581807,0.639712876286105,1.99905271862804,1.12263464311237,2.51427881006415,0.449741543032708,1.12310688326093,-0.823787486508881,0.701854804245444,0.1915349646068,-0.758343091650734,-1.01943428145613,-0.341303500455203
NEUROD1,-3.17014039733515,-1.36167483600533,-2.73649319581338,-3.10649634217594,-3.06114750305837,-1.47276403173665,2.87978289181697,1.92106466684864,2.40658973438444,2.5857967458737,0.384837017444379,1.17364607339513,-3.89328200508507,-3.52952196645583,-2.74964426770775,-1.27065804406841,-4.42570189291039,-2.2565205494459,2.66742248545321,1.11832802313533,2.45296302870182,2.17063073016666,1.16276664399948,0.638373631563892,-1.29129687650921,-1.12886514623285,-1.55339569278626,-4.04433373726376,-1.09418316620044,1.77685676476761,2.4668375522141,2.08658363479616,2.09201267450977,1.29557046677271,3.19850044519655,0.70198672541992,-3.13230103516251,-3.29185640830985,-1.35011853181795,-2.66639128424074,-2.05775248675991,-1.05375520142279,2.14931271133489,3.3036489717898,2.9344201363419,2.54315625400218,2.20973005162689,1.93161808866232
NFATC1,-0.649884919782443,0.166236343199123,-0.394296337084282,-0.117657997088353,-0.6347910665554,0.581033579252872,0.624250275488598,1.550732971233,-0.0348814114684093,1.61847060820156,0.996533115461634,1.1234943709751,-1.18514487684504,0.37440290825277,-0.172691361234128,-1.20766972561651,-1.15487385470383,0.0694038357112777,0.403707945096868,2.33421761175988,0.989989440809453,2.15305243440786,-0.915818897093612,1.85588656382122,-1.60197246814405,0.186136527703726,-0.631413296659104,-0.726559484795211,-0.568010851712434,-2.38225637008778,1.26320943471597,1.23905412407037,0.264454646719322,-0.0217437686072863,0.433162429582602,3.01635524205638,-1.44623289570147,-1.34133710514401,-0.273659955134487,-0.0357032733386695,-1.83805783566648,-1.47267408376915,0.374428267151127,0.723276374279454,0.160001401965265,0.639322023121782,-0.68708778781381,-0.428905914789396
NFE2,-0.424222022019411,0.331310207687504,-1.49250418650862,0.557915151011661,-0.837782346896615,-0.0783752955502064,1.61842290942155,1.48205787866323,0.643560976559053,-0.116063684331689,-0.643155256118232,0.172091380810704,-0.669777966905749,-0.842547875409832,-0.965925018583142,-1.3443932888414,-1.48044344995666,0.242312871707936,1.31261007411138,2.53626895329064,3.06761848968479,2.99335546676283,-0.134847026283481,-0.526198085519457,-2.32389339926759,0.240574269495592,-0.845464294599322,-1.26042736727695,-2.65334930846688,-1.49197369983916,0.253945175449303,1.62709104295926,-0.333834848426483,-2.05235337710268,-1.00207716870716,1.86422493811381,-1.26779776532371,-0.604021649871822,-1.19198923969158,-0.955338036086032,-1.32770277021741,-0.422559464976878,1.72574454032408,1.91033986162913,2.67546348232139,1.56346274090616,0.67344778382986,0.805885345556338
NFE2L1,-0.798861715515635,-0.667298385838517,-1.39011822532876,1.34867312680871,0.885597536241001,0.951827970691792,-1.07521192442123,-1.04505427010309,-1.00200406313683,-0.705412180033814,-2.64958009007717,-1.9450606974251,0.560520904467589,0.300025339778256,-0.607156214305837,0.217508049810944,1.18370162140113,1.44229680325243,-0.577535967423351,0.271532320913717,-0.117654565451669,1.60341242210717,0.290671532810298,0.556276483549173,-1.81842095124956,-1.89140750512877,-1.07161903564561,0.264927948607879,0.314782569274474,-1.93953509260334,-0.976073054658109,-0.574820679942339,-1.50133044104099,-2.40100328417428,-2.80059044802163,0.295605430701412,1.7160002056374,0.784915658296764,2.04706545053429,2.46955134560255,2.1031598076761,3.24523830236864,0.0268253040364095,0.414031704975938,0.997960771575124,1.27872728075932,0.36248284924905,0.181860412121769
NFIC,0.742751538122794,-0.808111203457022,0.93508130086898,-0.670173490582695,0.275140527030097,0.443195035854343,-1.34202257885411,-1.78419411620835,-0.0361638119284531,-0.983241318695605,0.24405407732751,-1.99740732927697,0.224064009225801,-0.865808472807615,-0.126972164971443,0.540582733814404,0.039188424704625,2.07317550266027,-0.600926133392309,-0.275314069140281,-0.227745512471083,0.0590094080377784,0.831575129561272,1.05904563535055,-0.0694748298194552,0.32579332173602,-0.514452227806449,0.182334279992305,0.443676124919411,-0.0326712575146082,0.18780978268232,-0.77042704675254,-0.839667965698895,0.00271535999029072,0.494573904371939,-0.329637081896536,2.13136901258895,0.3512759244832,1.00384915869773,0.376238287911057,0.292123392499618,0.988013646935955,-1.43643822927728,0.246358318226629,-0.391066048817376,-0.976145208319823,-1.37337594904032,0.146527506654905
