Samples,Androgen,EGFR,Estrogen,Hypoxia,JAK.STAT,MAPK,NFkB,p53,PI3K,TGFb,TNFa,Trail,VEGF,WNT
IL22_IFNL-6h-Rep-3,1.58178328988744,0.943401037790812,-1.22947528316367,1.28253038317273,1.00316689767412,1.30710692183607,1.44857657031435,-0.00529774602265543,0.562091284540857,0.610697812915393,1.31412789794059,0.552217615827296,0.991826978167052,0.734615262378122
IFNL-12h-Rep-1,-0.672384818930609,-0.388338893617206,0.526778161189653,-1.38453926478027,1.06533863870861,0.0599334149194844,-0.517387441371479,-0.794496810841811,0.451321990132841,-0.794721553348969,-0.652649831518004,-0.465080077632476,-0.932667509186714,1.79547371019455
IFNL-12h-Rep-2,-0.394095872111636,-0.308502111435039,0.556287293677252,-1.44507135387679,1.06953097948185,0.0828165787392737,-0.600331418105587,-1.19803816967411,0.479051206316017,-0.80310560128663,-0.743422428825115,-0.433093127053534,-0.0679169155548473,1.4821238517524
IFNL-12h-Rep-3,-0.532265116421446,-0.274493797751025,0.16501963676575,-1.00869539651676,1.08993393918753,0.00957172283190999,-0.746232493555368,-0.387619162091419,0.177254446605085,-1.26006034692669,-0.812052804540987,-0.44156870308385,-0.300237967208178,1.02232643719352
IFNL-24h-Rep-1,-1.81453576343284,-1.47770547527983,0.960873158618083,-0.65047556425787,1.20577355663286,-1.86499415558241,-0.744902714766869,0.374364588417828,-1.481982964669,-0.536600175763254,-0.830862818444041,0.860346170278036,-1.55734338403301,-0.134005870861561
IFNL-24h-Rep-2,-0.973979023238224,-1.30770425720986,1.44325562596213,-1.03414271243238,1.14744562851744,-1.21592996986225,-0.886204910955447,0.0945949333636119,-0.654690209693414,-0.776026568464157,-1.01364321747328,1.21539731358763,-1.53863117778607,0.715607979441516
IFNL-24h-Rep-3,-1.46332662544697,-2.08458004002398,0.443064067935445,-0.592190067991204,1.35158355106806,-1.94734881012916,-0.626116922299524,1.82223309618442,-1.68520115245286,0.222625382918829,-0.934119949752107,2.93736453306328,-1.21952827941409,0.595049306805744
IFNL-3h-Rep-1,0.638785315993593,1.13196742109806,0.350092776299903,0.305123821383009,0.314225621781986,0.358388571621228,0.446293768802582,0.173735566997734,0.65868806094719,1.3399583323626,0.314704586482253,-1.08364772099299,0.914556106667317,-0.246349756961468
IFNL-3h-Rep-2,0.858311756405499,0.989796403724846,-0.849429125129403,0.0617833547789497,0.170258956842041,0.416626572836845,0.233716435850301,0.941819078675186,0.690965166842647,1.66091128254974,0.106959850970458,-1.1371040341621,1.03153398219176,-0.294835657683278
IFNL-3h-Rep-3,0.72847617276044,1.0004027974277,0.0159709250524497,0.586777465244813,0.150974374191159,0.405878483351425,0.393668178108315,0.929079447795612,0.619073058517271,1.90492682432923,0.356536115204455,-0.574493885329505,0.748981969448648,-0.517965682328785
